@relation trainSet

@attribute coverage numeric
@attribute dependent_and_referenced numeric
@attribute distinct_dependent_values numeric
@attribute multi_dependent numeric
@attribute multi_referenced numeric
@attribute foreignKey {FOREIGN_KEY,UNKNOWN,NO_FOREIGN_KEY}

@data
4.023277907272529E-5,0,31,17,180,NO_FOREIGN_KEY
0.14285714285714285,0,1,164,66,NO_FOREIGN_KEY
8.12878598207115E-7,0,1,167,56,NO_FOREIGN_KEY
0.1,0,1,171,105,NO_FOREIGN_KEY
2.980922098569157E-4,0,3,54,146,NO_FOREIGN_KEY
3.127774638792477E-4,0,31,24,160,NO_FOREIGN_KEY
0.3333333333333333,0,1,70,81,NO_FOREIGN_KEY
0.004484304932735426,0,2,39,138,NO_FOREIGN_KEY
3.381348481774532E-5,0,1,160,63,NO_FOREIGN_KEY
0.058823529411764705,0,1,150,69,NO_FOREIGN_KEY
6.44039415212211E-5,0,1,167,71,NO_FOREIGN_KEY
3.294389259763911E-6,0,5,35,140,NO_FOREIGN_KEY
0.00751068642682917,155,2799,3,236,NO_FOREIGN_KEY
0.2222222222222222,0,2,60,92,NO_FOREIGN_KEY
0.001366120218579235,0,1,178,149,NO_FOREIGN_KEY
0.25,0,1,154,56,NO_FOREIGN_KEY
0.5,0,1,160,60,NO_FOREIGN_KEY
0.2,0,1,162,84,NO_FOREIGN_KEY
3.190837955528015E-7,0,1,167,67,NO_FOREIGN_KEY
2.4366471734892786E-4,0,1,160,167,NO_FOREIGN_KEY
0.5,0,1,164,59,NO_FOREIGN_KEY
0.3333333333333333,0,1,167,81,NO_FOREIGN_KEY
0.1111111111111111,0,1,157,67,NO_FOREIGN_KEY
0.007326007326007326,0,2,60,152,NO_FOREIGN_KEY
2.0832352476737553E-7,0,1,13,314,NO_FOREIGN_KEY
0.002242152466367713,0,1,162,138,NO_FOREIGN_KEY
0.0020491803278688526,0,1,149,139,NO_FOREIGN_KEY
0.002277904328018223,0,1,173,52,NO_FOREIGN_KEY
0.0014245014245014246,0,1,163,163,NO_FOREIGN_KEY
9.389433997695977E-6,125,13,34,169,NO_FOREIGN_KEY
0.0016987542468856172,0,6,23,173,NO_FOREIGN_KEY
0.06666666666666667,0,1,173,64,NO_FOREIGN_KEY
0.2,0,1,153,66,NO_FOREIGN_KEY
6.353240152477764E-4,0,1,147,106,NO_FOREIGN_KEY
0.005681818181818182,0,1,175,65,NO_FOREIGN_KEY
0.4,0,2,62,96,NO_FOREIGN_KEY
0.9,0,9,37,105,NO_FOREIGN_KEY
0.2,0,1,166,66,NO_FOREIGN_KEY
0.034482758620689655,0,1,167,51,NO_FOREIGN_KEY
1.0,0,1,147,62,NO_FOREIGN_KEY
